Comment,Designator,Footprint,LCSC,Quantity
ABS05-32.768KHZ-T,Y1,XTAL_ABS05-32.768KHZ-T,C179633,1
LSM6DS0,U1,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C2829074,1
10uf,C5,C_0402_1005Metric,C315248,1
LED,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D8,D9",LED_0201_0603Metric,C3646922,72
12pf,"C1,C2",C_0201_0603Metric,C384960,2
SW_Push,"SW1,SW2",ts1088,C720477,2
100nf,"C3,C4",C_0201_0603Metric,C76934,2
STM32L031G6Ux,U2,QFN-28_4x4mm_P0.5mm,C96514,1
Battery_Cell,BT1,BatteryHolder_MPD_BC2003_1x2032,,1
Debug,J1,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,,1
