Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_MPD_BC2003_1x2032,100.0,-100.0,270.0,bottom
C1,12pf,C_0201_0603Metric,102.25,-96.25,-90.0,top
C2,12pf,C_0201_0603Metric,100.75,-96.25,-90.0,top
C3,100nf,C_0201_0603Metric,103.75,-97.5,180.0,top
C4,100nf,C_0201_0603Metric,99.5,-96.25,90.0,top
C5,10uf,C_0402_1005Metric,99.0,-104.0,180.0,top
D1,LED,LED_0201_0603Metric,100.0,-89.25,-90.0,top
D10,LED,LED_0201_0603Metric,108.364,-90.711,-132.0,top
D11,LED,LED_0201_0603Metric,109.289,-91.636,-138.0,top
D12,LED,LED_0201_0603Metric,110.113,-92.653,-144.0,top
D13,LED,LED_0201_0603Metric,109.3098,-94.625,-150.0,top
D14,LED,LED_0201_0603Metric,110.825,-93.75,-150.0,top
D15,LED,LED_0201_0603Metric,111.419,-94.916,-156.0,top
D16,LED,LED_0201_0603Metric,111.888,-96.137,-162.0,top
D17,LED,LED_0201_0603Metric,112.227,-97.401,-168.0,top
D18,LED,LED_0201_0603Metric,112.432,-98.693,-174.0,top
D19,LED,LED_0201_0603Metric,110.75,-100.0,180.0,top
D2,LED,LED_0201_0603Metric,100.0,-87.5,-90.0,top
D20,LED,LED_0201_0603Metric,112.5,-100.0,180.0,top
D21,LED,LED_0201_0603Metric,112.432,-101.307,174.0,top
D22,LED,LED_0201_0603Metric,112.227,-102.599,168.0,top
D23,LED,LED_0201_0603Metric,111.888,-103.863,162.0,top
D24,LED,LED_0201_0603Metric,111.419,-105.084,156.0,top
D25,LED,LED_0201_0603Metric,109.3098,-105.375,150.0,top
D26,LED,LED_0201_0603Metric,110.825,-106.25,150.0,top
D27,LED,LED_0201_0603Metric,110.113,-107.347,144.0,top
D28,LED,LED_0201_0603Metric,109.289,-108.364,138.0,top
D29,LED,LED_0201_0603Metric,108.364,-109.289,132.0,top
D3,LED,LED_0201_0603Metric,101.307,-87.568,-96.0,top
D30,LED,LED_0201_0603Metric,107.347,-110.113,126.0,top
D31,LED,LED_0201_0603Metric,105.375,-109.3098,120.0,top
D32,LED,LED_0201_0603Metric,106.25,-110.825,120.0,top
D33,LED,LED_0201_0603Metric,105.084,-111.419,114.0,top
D34,LED,LED_0201_0603Metric,103.863,-111.888,108.0,top
D35,LED,LED_0201_0603Metric,102.599,-112.227,102.0,top
D36,LED,LED_0201_0603Metric,101.307,-112.432,96.0,top
D37,LED,LED_0201_0603Metric,100.0,-110.75,90.0,top
D38,LED,LED_0201_0603Metric,100.0,-112.5,90.0,top
D39,LED,LED_0201_0603Metric,98.693,-112.432,84.0,top
D4,LED,LED_0201_0603Metric,102.599,-87.773,-102.0,top
D40,LED,LED_0201_0603Metric,97.401,-112.227,78.0,top
D41,LED,LED_0201_0603Metric,96.137,-111.888,72.0,top
D42,LED,LED_0201_0603Metric,94.916,-111.419,66.0,top
